,Label,candidate,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question
166,Ever Receive Instructions From A Doctor For Follow-Up Check-Ups,n,Cancer Survivorship,13,7,350,Num,CSRVRTRN,,"Have you ever received instructions from a doctor, nurse, or other health professional about where you should return or who you should see for routine cancer check-ups after completing treatment for cancer?"
167,Instructions Written or Printed,n,Cancer Survivorship,13,8,351,Num,CSRVINST,,Were these instructions written down or printed on paper for you?
168,Did Health Insurance Pay For All Of Your Cancer Treatment,n,Cancer Survivorship,13,9,352,Num,CSRVINSR,,"With your most recent diagnosis of cancer, did you have health insurance that paid for all or part of your cancer treatment?: (ï¿½Health insuranceï¿½ also includes Medicare, Medicaid, or other types of state health programs.)"
169,Ever Denied Insurance Coverage Because Of Your Cancer?,n,Cancer Survivorship,13,10,353,Num,CSRVDEIN,,Were you ever denied health insurance or life insurance coverage because of your cancer?
170,Participate In Clinical Trial As Part Of Cancer Treatment?,n,Cancer Survivorship,13,11,354,Num,CSRVCLIN,,Did you participate in a clinical trial as part of your cancer treatment?
171,Currently Have Physical Pain From Cancer Or Treatment?,n,Cancer Survivorship,13,12,355,Num,CSRVPAIN,,Do you currently have physical pain caused by your cancer or cancer treatment?
172,Is Pain Under Control?,n,Cancer Survivorship,13,13,356,Num,CSRVCTL2,,Would you say your pain is currently under controlï¿½?
173,Primary Health Insurance Coverage,n,Health Care Access,14,1,357-358,Num,HLTHCVR1,,What is the primary source of your health care coverage? Is itï¿½
174,How often do you take an aspirin,n,Aspirin for CVD Prevention,15,1,359,Num,ASPIRIN,,"How often do you take an aspirin to prevent or control heart disease, heart attacks or stroke?: Would you sayï¿½."
175,Told check blood pressure at home,n,Home/ Self-measured Blood Pressure,16,1,360,Num,HOMBPCHK,,Has your doctor nurse or other health professional recommended you check your blood pressure outside of the office or at home?
176,Regularly check blood pressure at home,n,Home/ Self-measured Blood Pressure,16,2,361,Num,HOMRGCHK,,Do you regularly check your blood pressure outside of your healthcare professionalï¿½s office or at home?
177,Where do you get blood pressure taken,n,Home/ Self-measured Blood Pressure,16,3,362,Num,WHEREBP,,"Do you take it mostly at home or on a machine at a pharmacy, grocery or similar location?"
178,How do you share your blood pressure numbers,n,Home/ Self-measured Blood Pressure,16,4,363,Num,SHAREBP,,"How do you share your blood pressure numbers that you collected with your health professional? Is it mostly by telephone, other methods such as emails, internet portal or fax, or in person?"
179,Watching Sodium or Salt Intake,n,Sodium or Salt-Related Behavior,17,1,364,Num,WTCHSALT,,Are you currently watching or reducing your sodium or salt intake?
180,Doctor Advised Reduced Sodium/Salt Intake,n,Sodium or Salt-Related Behavior,17,2,365,Num,DRADVISE,,Has a doctor or other health professional ever advised you to reduce sodium or salt intake?
181,Times used an indoor tanning device,n,Indoor Tanning,18,1,366-368,Num,INDORTAN,,"Not including spray-on tans, during the past 12 months, how many times have you used an indoor tanning device such as a sunlamp, tanning bed, or booth?"
182,Number Of Sunburns In Past 12 Months,n,Excess Sun Exposure,19,1,369-371,Num,NUMBURN3,,"During the past 12 months, how many times have you had a sunburn?"
183,How often protect yourself from the sun,n,Excess Sun Exposure,19,2,372,Num,SUNPRTCT,,"When you go outside on a warm sunny day for more than one hour, how often do you protect yourself from the sun? Is thatï¿½."
184,How often outside on weekdays,n,Excess Sun Exposure,19,3,373-374,Num,WKDAYOUT,,"On weekdays, in the summer, how long are you outside per day between 10am and 4pm?"
185,How often outside on weekends,n,Excess Sun Exposure,19,4,375-376,Num,WKENDOUT,,"On weekends in the summer, how long are you outside each day between 10am and 4pm?"
186,Have you experienced confusion or memory loss that is happening more often or is getting worse?,n,Cognitive Decline,20,1,377,Num,CIMEMLOS,,"During the past 12 months, have you experienced confusion or memory loss that is happening more often or is getting worse?"
187,Given up day-to-day chores due to confusion or memory loss,n,Cognitive Decline,20,2,378,Num,CDHOUSE,,"During the past 12 months, as a result of confusion or memory loss, how often have you given up day-to-day household activities or chores you used to do, such as cooking, cleaning, taking medications, driving, or paying bills?"
188,Need assistance with day-to_day activities due to confusion or memory loss,n,Cognitive Decline,20,3,379,Num,CDASSIST,,"As a result of confusion or memory loss, how often do you need assistance with these day-to-day activities?"
189,When you need help with day-to-day activities are you able to get it,n,Cognitive Decline,20,4,380,Num,CDHELP,,"When you need help with these day-to-day activities, how often are you able to get the help that you need?"
190,Does confusion or memory loss interfere with work or social activities,n,Cognitive Decline,20,5,381,Num,CDSOCIAL,,"During the past 12 months, how often has confusion or memory loss interfered with your ability to work, volunteer, or engage in social activities outside the home?"
191,Have you discussed your confusion or memory loss with a health care professional?,n,Cognitive Decline,20,6,382,Num,CDDISCUS,,Have you or anyone else discussed your confusion or memory loss with a health care professional?
192,Provided regular care for family or friend,n,Caregiver,21,1,383,Num,CAREGIV1,,"During the past 30 days, did you provide regular care or assistance to a friend or family member who has a health problem or disability?"
193,Relationship Of Person To Whom You Are Giving Care?,n,Caregiver,21,2,384-385,Num,CRGVREL3,,What is his/her relationship to you?
194,How Long Provided Care For Person.,n,Caregiver,21,3,386,Num,CRGVLNG1,,For how long have you provided care for that person?
195,How Many Hours Do You Provide Care For Person?,n,Caregiver,21,4,387,Num,CRGVHRS1,,"In an average week, how many hours do you provide care or assistance?"
196,"What Is The Major Health Problem, Illness, Disability For Care For Person?",n,Caregiver,21,5,388-389,Num,CRGVPRB3,,"What is the main health problem, long-term illness, or disability that the person you care for has?"
197,Does Person Being Cared For Have Alzheimerï¿½s Disease?,n,Caregiver,21,6,390,Num,CRGVALZD,,"Does the person you care for also have Alzheimerï¿½s disease, dementia or other cognitive impairment disorder?"
198,Managed personal care,n,Caregiver,21,7,391,Num,CRGVPER1,,"In the past 30 days, did you provide care for this person by managing personal care such as giving medications, feeding, dressing, or bathing?"
199,Managed household tasks,n,Caregiver,21,8,392,Num,CRGVHOU1,,"In the past 30 days, did you provide care for this person by managing household tasks such as cleaning, managing money, or preparing meals?"
200,Do you expect to have a relative you will need to provide care for?,n,Caregiver,21,9,393,Num,CRGVEXPT,,"In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health problem or disability?"
201,"Live With Anyone Depressed, Mentally Ill, Or Suicidal?",n,Adverse Childhood Experience,22,1,394,Num,ACEDEPRS,,"Did you live with anyone who was depressed, mentally ill, or suicidal?"
202,Live With a Problem Drinker/Alcoholic?,n,Adverse Childhood Experience,22,2,395,Num,ACEDRINK,,Did you live with anyone who was a problem drinker or alcoholic?
203,Live With Anyone Who Used Illegal Drugs or Abused Prescriptions?,n,Adverse Childhood Experience,22,3,396,Num,ACEDRUGS,,Did you live with anyone who used illegal street drugs or who abused prescription medications?
204,Live With Anyone Who Served TIme in Prison or Jail?,n,Adverse Childhood Experience,22,4,397,Num,ACEPRISN,,"Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?"
205,Were Your Parents Divorced/Seperated?,n,Adverse Childhood Experience,22,5,398,Num,ACEDIVRC,,Were your parents separated or divorced?
206,How Often Did Your Parents Beat Each Other Up?,n,Adverse Childhood Experience,22,6,399,Num,ACEPUNCH,,"How often did your parents or adults in your home ever slap, hit, kick, punch or beat each other up?"
207,How Often Did A Parent Physically Hurt You In Any Way?,n,Adverse Childhood Experience,22,7,400,Num,ACEHURT1,,"Not including spanking, (before age 18), how often did a parent or adult in your home ever hit, beat, kick, or physically hurt you in any way? Was itï¿½"
208,How Often Did A Parent Swear At You?,n,Adverse Childhood Experience,22,8,401,Num,ACESWEAR,,"How often did a parent or adult in your home ever swear at you, insult you, or put you down?"
209,How Often Did Anyone Ever Touch You Sexually?,n,Adverse Childhood Experience,22,9,402,Num,ACETOUCH,,"How often did anyone at least 5 years older than you or an adult, ever touch you sexually?"
210,How Often Did Anyone Make You Touch Them Sexually?,n,Adverse Childhood Experience,22,10,403,Num,ACETTHEM,,"How often did anyone at least 5 years older than you or an adult, try to make you touch them sexually?"
211,How Often Did Anyone Ever Force You to Have Sex?,n,Adverse Childhood Experience,22,11,404,Num,ACEHVSEX,,"How often did anyone at least 5 years older than you or an adult, force you to have sex?"
212,Did you do anything to keep from getting pregnant?,n,Family Planning,23,1,405,Num,PFPPRVN3,,"The last time you had sex with a man, did you or your partner do anything to keep you from getting pregnant?"
213,What did you do to keep you from getting pregnant?,n,Family Planning,23,2,406-407,Num,TYPCNTR8,,"The last time you had sex with a man, what did you or your partner do to keep you from getting pregnant?"
214,What was main reason for not doing anything to keep you from getting pregnant?,n,Family Planning,23,3,408-409,Num,NOBCUSE7,,What was your main reason for not using a method to prevent pregnancy the last time you had sex with a man?
215,Asked during checkup if you drink alchohol,n,Alcohol Screening & Brief Intervention (ASBI),24,1,410,Num,ASBIALCH,,"You told me earlier that your last routine checkup was [within the past year/within the past 2 years]. At that checkup, were you asked in person or on a form if you drink alcohol?"
216,Asked in person or by form how much you drink?,n,Alcohol Screening & Brief Intervention (ASBI),24,2,411,Num,ASBIDRNK,,Did the health care provider ask you in person or on a form how much you drink?
217,Asked whether you drank [5 FOR MEN /4 FOR WOMEN] or more alcoholic drinks on an occasion?,n,Alcohol Screening & Brief Intervention (ASBI),24,3,412,Num,ASBIBING,,Did the healthcare provider specifically ask whether you drank [5 FOR MEN /4 FOR WOMEN] or more alcoholic drinks on an occasion?
218,Offered advice about what level of drinking is harmful or risky?,n,Alcohol Screening & Brief Intervention (ASBI),24,4,413,Num,ASBIADVC,,Were you offered advice about what level of drinking is harmful or risky for your health?
219,Were you advised to reduce or quit your drinking?,n,Alcohol Screening & Brief Intervention (ASBI),24,5,414,Num,ASBIRDUC,Healthcare providers may also advise patients to drink less for various reasons.,"At your last routine checkup, were you advised to reduce or quit your drinking?"
220,"During the past 30 days, on how many days did you use marijuana or hashish?",n,Marijuana Use,25,1,415-416,Num,MARIJAN1,,"During the past 30 days, on how many days did you use marijuana or cannabis?"
221,"During the past 30 days, how did you primarily use marijuana?",n,Marijuana Use,25,2,417,Num,USEMRJN2,,"During the past 30 days, which one of the following ways did you use marijuana the most often? Did you usuallyï¿½: [Please select one. Did youï¿½]"
222,What was the reason you used marijuana?,n,Marijuana Use,25,3,418,Num,RSNMRJN1,,"When you used marijuana or cannabis during the past 30 days, was it usually: "
223,In the past 12 months have you received food stamps,n,Food Stamps,27,1,619,Num,FOODSTMP,,"In the past 12 months, have you received food stamps, also called SNAP, the Supplemental Nutrition Assistance Program on an EBT card?"
224,Are you male or female?,n,Sex at Birth,28,1,620,Num,BIRTHSEX,,What was your sex at birth? Was it male or female?
225,Sexual orientation,n,Sexual Orientation and Gender Identity (SOGI),29,1a,621,Num,SOMALE,,Which of the following best represents how you think of yourself?
226,Sexual orientation,n,Sexual Orientation and Gender Identity (SOGI),29,1b,622,Num,SOFEMALE,,Which of the following best represents how you think of yourself?
227,Do you consider yourself to be transgender?,n,Sexual Orientation and Gender Identity (SOGI),29,2,623,Num,TRNSGNDR,,"Do you consider yourself to be transgender?: (If yes, ask ï¿½Do you consider yourself to be male-to-female, female-to-male, or gender non-conforming?)"
228,Gender of child,n,Random Child Selection,30,2,630,Num,RCSGENDR,,Is the child a boy or a girl?
229,Relationship to child,n,Random Child Selection,30,6,665,Num,RCSRLTN2,,How are you related to the child?
230,Hlth pro ever said child has asthma,n,Childhood Asthma Prevalence,31,1,666,Num,CASTHDX2,,"Has a doctor, nurse or other health professional EVER said that the child has asthma?"
231,Child still have asthma?,n,Childhood Asthma Prevalence,31,2,667,Num,CASTHNO2,,Does the child still have asthma?
232,Questionnaire Version Identifier,n,Questionnaire Version,1,1,672-673,Num,QSTVER,,Questionnaire Version Identifier
233,Language identifier,n,Questionnaire Language,1,1,674-675,Num,QSTLANG,,Language identifier
234,Metropolitan Status,n,Urban Rural,1,2,1402,Num,_METSTAT,,Metropolitan Status
235,Urban/Rural Status,n,Urban Rural,1,3,1403,Num,_URBSTAT,,Urban/Rural Status
236,Metropolitan Status Code,n,Weighting Variables,1,2,1409,Num,MSCODE,,Metropolitan Status Code
237,Sample Design Stratification Variable,n,Weighting Variables,1,3,1410-1415,Num,_STSTR,,"Sample Design Stratification Variable: (Prior to 2011: _STSTR is a five digit number that combines the values for _STATE (first two characters), _GEOSTR (third and fourth character), and _DENSTR2 (final character).)"
238,Stratum weight,n,Weighting Variables,1,4,1416-1425,Num,_STRWT,,Stratum weight: (Number of records in a stratum (NRECSTR) divided by the number of records selected (NRECSEL).)
239,Raw weighting factor used in raking,n,Weighting Variables,1,7,1446-1455,Num,_RAWRAKE,,"Raw weighting factor used in raking: (Number of adults in the household (NUMADULT, maximum of 5) divided by the imputed number of phones (_IMPNPH, maximum of 3).)"
240,Design weight use in raking,n,Weighting Variables,1,8,1456-1465,Num,_WT2RAKE,,Design weight used in raking: (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).)
241,Imputed race/ethnicity value,n,Weighting Variables,1,12,1471-1472,Num,_IMPRACE,,"Imputed race/ethnicity value: (This value is the reported race/ethnicity or an imputed race/ethnicity, if the respondent refused to give a race/ethnicity. The value of the imputed race/ethnicity will be the most common race/ethnicity response for that region of the state)"
242,"Child Hispanic, Latino/a, or Spanish origin calculated variable",n,Child Demographic Variables,1,01,1482,Num,_CHISPNC,,"Child Hispanic, Latino/a, or Spanish origin calculated variable"
243,Child Non-Hispanic Race including Multiracial,n,Child Demographic Variables,1,04,1539-1540,Num,_CRACE1,,Child multiracial race categorization
244,Preferred Child Race Categories,n,Child Demographic Variables,1,05,1541-1542,Num,_CPRACE,,Preferred Child Race Categories
245,Final child weight,n,Child Weighting Variables,1,5,1585-1594,Num,_CLLCPWT,,Final child weight: Land-line and Cell-Phone data: (Raking derived weight)
246,Dual Phone Use Categories,n,Weighting Variables,1,2,1682,Num,_DUALUSE,,Dual Phone Use Categories
247,Dual Phone Use Correction Factor,n,Weighting Variables,1,3,1683-1692,Num,_DUALCOR,,Dual phone use correction factor
248,Truncated design weight used in adult combined land line and cell phone raking,n,Weighting Variables,1,4,1693-1702,Num,_LLCPWT2,,Truncated design weight used in adult combined land line and cell phone raking
249,Final weight,n,Weighting Variables,1,21,1751-1760,Num,_LLCPWT,,Final weight assigned to each: respondent: Land-line and cell-phone data: (Raking derived weight)
250,Adults with good or better health,n,Calculated Variables,1,1,1899,Num,_RFHLTH,,Adults with good or better health
251,Computed Physical Health Status,n,Calculated Variables,2,1,1900,Num,_PHYS14D,,"3 level not good physical health status: 0 days, 1-13 days, 14-30 days"
252,Computed Mental Health Status,n,Calculated Variables,2,2,1901,Num,_MENT14D,,"3 level not good mental health status: 0 days, 1-13 days, 14-30 days"
253,Respondents aged 18-64 with health care coverage,n,Calculated Variables,3,1,1902,Num,_HCVU651,,Respondents aged 18-64 who have any form of health care coverage
254,High Blood Pressure Calculated Variable,n,Calculated Variables,4,1,1903,Num,_RFHYPE5,,"Adults who have been told they have high blood pressure by a doctor, nurse, or other health professional"
255,Cholesterol Checked Calculated Variable,n,Calculated Variables,5,1,1904,Num,_CHOLCH2,,Cholesterol check within past five years
256,High Cholesterol Calculated Variable,n,Calculated Variables,5,2,1905,Num,_RFCHOL2,,"Adults who have had their cholesterol checked and have been told by a doctor, nurse, or other health professional that it was high"
257,Ever had CHD or MI,n,Calculated Variables,6,1,1906,Num,_MICHD,,Respondents that have ever reported having coronary heart disease (CHD) or myocardial infarction (MI)
258,Lifetime Asthma Calculated Variable,n,Calculated Variables,6,2,1907,Num,_LTASTH1,,Adults who have ever been told they have asthma
259,Current Asthma Calculated Variable,n,Calculated Variables,6,3,1908,Num,_CASTHM1,,Adults who have been told they currently have asthma
260,Computed Asthma Status,n,Calculated Variables,6,4,1909,Num,_ASTHMS1,,Computed asthma status
261,Respondents diagnosed with arthritis,n,Calculated Variables,6,5,1910,Num,_DRDXAR2,,Respondents who have had a doctor diagnose them as having some form of arthritis
262,Limited usual activities,n,Calculated Variables,7,1,1911,Num,_LMTACT2,,Limited usual activities
263,Limited work activities,n,Calculated Variables,7,2,1912,Num,_LMTWRK2,,Limited work activities
264,Computed Preferred Race,n,Calculated Race Variables,8,3,1969-1970,Num,_PRACE1,,Preferred race category
265,Calculated non-Hispanic Race including multiracial,n,Calculated Race Variables,8,4,1971-1972,Num,_MRACE1,,Calculated multiracial race categorization
266,"Hispanic, Latino/a, or Spanish origin calculated variable",n,Calculated Race Variables,8,6,1975,Num,_HISPANC,,"Hispanic, Latino/a, or Spanish origin calculated variable"
267,Computed Race-Ethnicity grouping,n,Calculated Race Variables,8,7,1976,Num,_RACE,,Race/ethnicity categories
268,Create Computed Non-Hispanic Whites/All Others Race Categories Race/Ethnic Group Codes Used In Post-Stratification Variable,n,Calculated Race Variables,8,8,1977,Num,_RACEG21,,White non-Hispanic race group
269,Computed Five level race/ethnicity category.,n,Calculated Race Variables,8,9,1978,Num,_RACEGR3,,Five-level race/ethnicity category
270,Computed race groups used for internet prevalence tables,n,Calculated Race Variables,8,10,1979,Num,_RACE_G1,,Race groups used for internet prevalence tables
271,Calculated sex variable,n,Calculated Variables,8,11,1980,Num,_SEX,,Calculated sex variable
272,Reported age in five-year age categories calculated variable,n,Calculated Variables,8,12,1981-1982,Num,_AGEG5YR,,Fourteen-level age category
273,Reported age in two age groups calculated variable,n,Calculated Variables,8,13,1983,Num,_AGE65YR,,Two-level age category
274,Imputed Age value collapsed above 80,n,Calculated Variables,8,14,1984-1985,Num,_AGE80,,Imputed Age value collapsed above 80
275,Imputed age in six groups,n,Calculated Variables,8,15,1986,Num,_AGE_G,,Six-level imputed age category
276,Computed Height in Inches,n,Calculated Variables,8,16,1987-1989,Num,HTIN4,,Reported height in inches
277,Computed Height in Meters,n,Calculated Variables,8,17,1990-1992,Num,HTM4,,Reported height in meters
278,Computed Weight in Kilograms,n,Calculated Variables,8,18,1993-1997,Num,WTKG3,,Reported weight in kilograms
279,Computed body mass index,n,Calculated Variables,8,19,1998-2001,Num,_BMI5,,Body Mass Index (BMI)
280,Computed body mass index categories,n,Calculated Variables,8,20,2002,Num,_BMI5CAT,,Four-categories of Body Mass Index (BMI)
281,Overweight or obese calculated variable,n,Calculated Variables,8,21,2003,Num,_RFBMI5,,Adults who have a body mass index greater than 25.00 (Overweight or Obese)
282,Computed number of children in household,n,Calculated Variables,8,22,2004,Num,_CHLDCNT,,Number of children in household
283,Computed level of education completed categories,n,Calculated Variables,8,23,2005,Num,_EDUCAG,,Level of education completed
284,Computed income categories,n,Calculated Variables,8,24,2006,Num,_INCOMG,,Income categories
285,Computed Smoking Status,n,Calculated Variables,9,1,2007,Num,_SMOKER3,,"Four-level smoker status: Everyday smoker, Someday smoker, Former smoker, Non-smoker"
286,Current Smoking Calculated Variable,n,Calculated Variables,9,2,2008,Num,_RFSMOK3,,Adults who are current smokers
287,Drink any alcoholic beverages in past 30 days,n,Calculated Variables,10,1,2009,Num,DRNKANY5,,Adults who reported having had at least one drink of alcohol in the past 30 days.
288,Computed drink-occasions-per-day,n,Calculated Variables,10,2,2010-2012,Num,DROCDY3_,,Drink-occasions-per-day
289,Binge Drinking Calculated Variable,n,Calculated Variables,10,3,2013,Num,_RFBING5,,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion)"
290,Computed number of drinks of alcohol beverages per week,n,Calculated Variables,10,4,2014-2018,Num,_DRNKWK1,,Calculated total number of alcoholic beverages consumed per week
291,Heavy Alcohol Consumption,n,Calculated Variables,10,5,2019,Num,_RFDRHV7,,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week)
292,Leisure Time Physical Activity Calculated Variable,n,Calculated Variables,11,1,2020,Num,_TOTINDA,,Adults who reported doing physical activity or exercise during the past 30 days other than their regular job
293,Activity MET Value for First Activity,n,Calculated Variables,11,2,2021-2023,Num,METVL11_,,Activity MET Value for First Activity
294,Activity MET Value for Second Activity,n,Calculated Variables,11,3,2024-2026,Num,METVL21_,,Activity MET Value for Second Activity
295,Estimated Age-Gender Specific Maximum Oxygen Consumption,n,Calculated Variables,11,4,2027-2031,Num,MAXVO21_,,Estimated Age-Gender Specific Maximum Oxygen Consumption
296,Estimated Functional Capacity,n,Calculated Variables,11,5,2032-2036,Num,FC601_,,Estimated Functional Capacity
297,Estimated Activity Intensity for First Activity,n,Calculated Variables,11,6,2037,Num,ACTIN12_,,Estimated Activity Intensity for First Activity
298,Estimated Activity Intensity for Second Activity,n,Calculated Variables,11,7,2038,Num,ACTIN22_,,Estimated Activity Intensity for Second Activity
299,Minutes of First Activity,n,Calculated Variables,11,8,2039-2041,Num,PADUR1_,,Minutes of First Activity
300,Minutes of Second Activity,n,Calculated Variables,11,9,2042-2044,Num,PADUR2_,,Minutes of Second Activity
301,Physical Activity Frequency per Week for First Activity,n,Calculated Variables,11,10,2045-2049,Num,PAFREQ1_,,Physical Activity Frequency per Week for First Activity
302,Physical Activity Frequency per Week for Second Activity,n,Calculated Variables,11,11,2050-2054,Num,PAFREQ2_,,Physical Activity Frequency per Week for Second Activity
303,Minutes of Physical Activity per week for First Activity,n,Calculated Variables,11,12,2055-2059,Num,_MINAC11,,Minutes of Physical Activity per week for First Activity
304,Minutes of Physical Activity per week for Second Activity,n,Calculated Variables,11,13,2060-2064,Num,_MINAC21,,Minutes of Physical Activity per week for Second Activity
305,Strength Activity Frequency per Week,n,Calculated Variables,11,14,2065-2069,Num,STRFREQ_,,Strength Activity Frequency per Week
306,Missing Physical Activity Data,n,Calculated Variables,11,15,2070,Num,PAMISS2_,,Missing Physical Activity Data
307,Minutes of Physical Activity per week for First Activity,n,Calculated Variables,11,16,2071-2075,Num,PAMIN12_,,Minutes of Physical Activity per week for First Activity
308,Minutes of Physical Activity per week for Second Activity,n,Calculated Variables,11,17,2076-2080,Num,PAMIN22_,,Minutes of Physical Activity per week for Second Activity
309,Minutes of total Physical Activity per week,n,Calculated Variables,11,18,2081-2085,Num,PA2MIN_,,Minutes of total Physical Activity per week
310,Minutes of Vigorous Physical Activity per week for First Activity,n,Calculated Variables,11,19,2086-2090,Num,PAVIG12_,,Minutes of Vigorous Physical Activity per week for First Activity
311,Minutes of Vigorous Physical Activity per week for Second Activity,n,Calculated Variables,11,20,2091-2095,Num,PAVIG22_,,Minutes of Vigorous Physical Activity per week for Second Activity
312,Minutes of total Vigorous Physical Activity per week,n,Calculated Variables,11,21,2096-2100,Num,PA2VIGM_,,Minutes of total Vigorous Physical Activity per week
313,Physical Activity Categories,n,Calculated Variables,11,22,2101,Num,_PACAT2,,Physical Activity Categories
314,Physical Activity Index,n,Calculated Variables,11,23,2102,Num,_PAINDX2,,Physical Activity Index
315,150 Minute Physical Activity Calculated Variable,n,Calculated Variables,11,24,2103,Num,_PA150R3,,Adults that participated in 150 minutes (or vigorous equivalent minutes) of physical activity per week.
316,300 Minute Physical Activity Calculated Variable,n,Calculated Variables,11,25,2104,Num,_PA300R3,,Adults that participated in 300 minutes: (or vigorous equivalent minutes) of physical activity per week.
317,300 Minute Physical Activity 2-Level Calculated Variable,n,Calculated Variables,11,26,2105,Num,_PA30022,,Adults that participated in 300 minutes: (or vigorous equivalent minutes) of physical activity per week (2-levels).
318,Muscle Strengthening Recommendation,n,Calculated Variables,11,27,2106,Num,_PASTRNG,,Muscle Strengthening Recommendation
319,Aerobic and Strengthening Guideline,n,Calculated Variables,11,28,2107,Num,_PAREC2,,Aerobic and Strengthening Guideline
320,Aerobic and Strengthening (2-level),n,Calculated Variables,11,29,2108,Num,_PASTAE2,,Aerobic and Strengthening (2-level)
321,Computed Fruit Juice intake in times per day,n,Calculated Variables,12,1,2109-2112,Num,FTJUDA2_,,Fruit juice intake in times per day
322,Computed Fruit intake in times per day,n,Calculated Variables,12,2,2113-2116,Num,FRUTDA2_,,Fruit intake in times per day
323,Computed Dark Green Vegetable intake in times per day,n,Calculated Variables,12,3,2117-2120,Num,GRENDA1_,,Dark green vegetable intake in times per day
324,Computed French Fry intake in times per day,n,Calculated Variables,12,4,2121-2124,Num,FRNCHDA_,,French Fry intake in times per day
325,Computed Potato Servings per day,n,Calculated Variables,12,5,2125-2128,Num,POTADA1_,,Potato servings per day
326,Computed Other Vegetable intake in times per,n,Calculated Variables,12,6,2129-2132,Num,VEGEDA2_,,Other vegetable intake in times per day
327,The number of missing fruit responses,n,Calculated Variables,12,7,2133,Num,_MISFRT1,,The number of missing fruit responses
328,The number of missing vegetable responses,n,Calculated Variables,12,8,2134,Num,_MISVEG1,,The number of missing vegetable responses
329,Missing any fruit responses,n,Calculated Variables,12,9,2135,Num,_FRTRES1,,Missing any fruit responses
330,Missing any vegetable responses,n,Calculated Variables,12,10,2136,Num,_VEGRES1,,Missing any vegetable responses
331,Total fruits consumed per day,n,Calculated Variables,12,11,2137-2142,Num,_FRUTSU1,,Total fruits consumed per day
332,Total vegetables consumed per day,n,Calculated Variables,12,12,2143-2148,Num,_VEGESU1,,Total vegetables consumed per day
333,Consume Fruit 1 or more times per day,n,Calculated Variables,12,13,2149,Num,_FRTLT1A,,Consume Fruit 1 or more times per day
334,Consume Vegetables 1 or more times per day,n,Calculated Variables,12,14,2150,Num,_VEGLT1A,,Consume Vegetables 1 or more times per day
335,Reported consuming Fruit >16 per day,n,Calculated Variables,12,15,2151,Num,_FRT16A,,Reported consuming Fruit >16 per day
336,Reported consuming Vegetables >23 per day,n,Calculated Variables,12,16,2152,Num,_VEG23A,,Reported consuming Vegetables >23 per day
337,Fruit Exclusion from analyses,n,Calculated Variables,12,17,2153,Num,_FRUITE1,,Fruit Exclusion from analyses
338,Vegetable Exclusion from analyses,n,Calculated Variables,12,18,2154,Num,_VEGETE1,,Vegetable Exclusion from analyses
339,Flu Shot Calculated Variable,n,Calculated Variables,13,1,2155,Num,_FLSHOT7,,Adults aged 65+ who have had a flu shot within the past year
340,Pneumonia Vaccination Calculated Variable,n,Calculated Variables,13,2,2156,Num,_PNEUMO3,,Adults aged 65+ who have ever had a pneumonia vaccination
341,Ever been tested for HIV calculated variable,n,Calculated Variables,14,1,2157,Num,_AIDTST4,,Adults who have ever been tested for HIV
